Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
200.1,10.84,6.31,1.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,7,1,0,1,130,26,0,0,29,5,0,4,204,65,0,0,0,0,0,13,39,3,0,0,0,1,2,2,51,15,0,0,7,1,1,4,204,8,0,1,37,11,1,38,204,15,0,0,0,0,0,83,61,0,0,0,0,1,4,12,22,6,0,0,1,4,10,25,178,1,0,1,4,8,5,77,204,0,0,0,0,0,0,104,40,0,0,0,0,0,3,8
343.3,298.24,5.46,2.046,101,46,2,9,15,5,0,28,5,4,3,43,65,30,9,3,37,6,2,6,6,10,44,62,37,8,3,8,7,8,47,61,108,75,17,16,10,1,0,28,24,31,31,121,81,4,0,2,121,82,21,37,8,0,4,46,30,8,5,51,38,17,35,27,27,20,87,72,10,0,1,33,29,14,37,117,57,8,47,110,121,48,12,16,8,3,28,121,39,27,57,117,21,12,25,8,34,6,10,35,20,2,2,94,33,6,4,8,5,5,37,121,10,14,24,39,25,10,22,45,19,14,41,76,44,16,6,14
333.16,461.21,5.64,2.395,3,0,0,0,1,24,67,56,69,5,0,0,0,0,22,114,114,21,1,0,0,0,9,114,112,25,31,7,0,0,1,28,6,1,1,1,0,7,106,33,46,40,5,0,6,32,75,73,114,114,12,1,3,8,6,57,48,34,42,41,38,9,1,12,17,2,2,1,0,1,87,84,21,2,0,0,9,113,60,77,114,63,2,0,10,61,22,38,79,44,3,3,33,32,44,34,0,0,0,2,7,20,88,60,1,0,0,12,31,35,25,16,28,15,0,5,31,28,34,73,114,13,3,1,0,1,23,114
328.45,588.23,5.05,2.445,13,2,14,15,2,3,7,13,64,34,8,12,3,4,3,4,145,68,0,0,0,0,0,45,126,26,14,28,2,0,0,19,23,36,26,17,9,5,11,23,50,45,22,50,57,13,11,13,145,127,10,4,1,0,0,17,93,66,45,15,7,3,0,1,24,85,56,25,4,0,0,11,90,24,30,31,31,4,11,123,145,38,6,1,1,1,21,145,27,63,60,3,0,0,7,13,26,6,8,18,1,0,3,32,145,14,6,5,0,0,1,75,85,15,28,29,2,2,21,73,7,7,43,51,5,5,11,9
299.2,376.75,4.87,1.327,6,5,4,20,89,35,16,10,110,46,17,6,5,9,20,50,30,43,111,111,47,9,0,1,9,4,16,52,59,10,21,27,22,28,15,45,111,22,6,7,111,56,10,7,10,30,21,42,25,2,16,29,92,111,18,11,111,11,4,5,10,14,16,59,13,1,0,13,98,50,56,21,111,61,11,7,8,12,36,46,21,42,9,12,111,92,5,4,90,71,12,13,47,24,2,3,1,0,0,7,31,29,30,8,19,57,22,34,49,20,7,4,39,77,8,18,95,15,6,5,42,19,6,17,72,18,26,76
299.2,376.75,4.87,-1.358,8,1,6,37,107,26,16,26,84,9,12,16,30,13,11,111,23,6,6,31,99,36,10,30,106,18,6,5,4,3,5,31,39,6,12,99,93,4,1,5,111,16,3,15,26,14,5,56,12,12,18,54,101,59,15,21,30,37,31,5,1,3,8,35,40,4,15,39,14,14,84,36,111,51,16,41,28,8,25,23,18,23,32,111,111,15,5,15,102,38,27,11,2,1,4,88,54,0,0,12,44,42,107,77,7,7,30,69,92,32,30,7,29,14,24,18,41,25,17,50,58,2,7,10,7,6,8,88
300.43,122.97,5.4,1.815,36,0,0,16,24,4,2,24,12,6,4,36,49,5,2,6,65,7,1,3,13,4,6,84,7,0,0,38,120,1,0,16,23,10,2,45,55,0,0,6,45,43,21,103,86,0,0,1,120,77,9,30,37,1,0,15,7,1,0,83,120,1,0,2,29,49,4,32,78,0,0,1,89,6,2,58,120,3,0,44,120,14,1,19,86,2,0,80,6,0,0,35,120,6,0,1,51,10,0,5,60,8,3,12,77,0,0,5,70,22,12,87,110,0,0,21,98,1,0,84,5,0,0,22,117,3,0,3
287.87,612.05,5.1,2.188,119,42,6,6,2,0,0,18,107,39,18,30,4,1,7,46,6,6,21,78,16,7,18,11,81,31,20,14,2,2,18,27,119,28,2,9,2,0,2,92,94,64,79,105,13,4,3,17,119,66,40,32,4,4,36,53,53,5,0,0,7,21,94,77,32,0,0,2,2,3,7,112,24,5,6,32,23,29,109,61,119,23,3,5,2,4,50,119,98,12,2,16,46,17,11,26,4,0,0,0,0,0,1,11,15,5,8,26,1,2,21,30,70,119,35,15,1,1,9,35,50,75,16,14,14,1,1,31
284.23,402.84,5.07,0.512,44,84,8,2,3,5,7,15,12,77,60,12,45,40,3,6,0,46,60,11,50,66,9,0,0,30,111,41,3,20,5,0,3,32,8,2,4,81,89,6,20,75,80,18,26,72,16,4,115,64,18,3,8,95,53,27,6,0,8,5,5,115,69,3,4,30,79,17,9,41,16,3,24,34,43,4,20,115,33,24,115,20,2,0,2,34,33,115,20,4,4,0,4,115,68,16,3,7,23,11,20,41,22,8,51,56,24,3,3,18,30,15,84,63,89,12,0,1,3,25,9,56,115,9,3,15,6,2
277.93,230.97,5.04,-1.668,8,47,59,20,4,1,3,5,31,66,94,99,20,1,0,0,101,119,22,11,65,27,1,0,16,4,0,3,41,29,11,54,28,44,16,19,25,2,0,1,82,34,12,67,117,19,5,10,123,89,4,20,43,11,2,19,29,56,31,42,61,10,1,11,61,4,0,2,20,19,6,19,38,1,0,2,34,66,59,87,123,7,0,17,74,4,19,123,78,25,10,46,123,2,0,3,16,1,1,7,30,33,7,20,89,11,0,3,2,1,7,38,51,4,0,27,73,2,1,43,50,14,0,16,123,10,0,0
236.58,273.74,4.62,1.405,0,0,0,0,2,32,24,1,29,33,3,0,2,23,29,28,136,45,0,0,0,0,14,57,136,28,0,0,0,0,1,30,20,8,9,8,11,17,9,7,105,9,1,0,0,12,103,136,60,4,0,0,0,35,136,136,136,38,0,0,0,7,19,33,36,8,0,4,9,44,12,5,136,93,0,0,1,5,9,37,89,42,0,0,0,50,59,24,19,14,0,0,1,21,54,33,12,4,3,28,19,7,2,3,136,75,4,4,1,1,0,3,107,94,53,1,0,0,3,1,4,51,20,0,0,10,9,3
236.58,273.74,4.62,0.314,26,95,83,1,0,0,0,0,29,129,118,0,0,0,0,8,33,100,97,3,0,0,2,22,18,12,62,17,0,0,14,18,32,35,73,11,0,0,7,12,129,87,22,0,0,0,3,77,67,38,26,0,0,0,28,115,22,6,29,21,2,0,4,29,19,4,2,3,3,1,22,47,119,129,80,2,1,0,4,19,18,129,129,0,0,0,2,9,0,79,129,45,11,0,0,1,8,1,2,2,5,10,10,12,2,17,23,2,3,7,32,22,2,43,62,2,11,14,15,13,0,64,94,20,5,5,3,0
230.24,158.52,5.14,0.459,30,39,8,8,9,17,8,5,34,136,96,22,1,0,0,2,0,90,136,62,13,4,1,1,30,136,136,1,0,0,1,6,9,56,42,6,7,28,38,12,14,21,56,75,38,6,11,6,47,23,40,26,15,10,35,51,84,41,10,0,0,8,75,72,5,77,54,10,2,1,1,2,29,26,44,86,26,9,1,1,136,93,6,7,1,1,13,57,37,50,19,2,1,29,65,31,5,20,5,0,0,7,9,1,8,12,8,6,8,17,3,1,64,131,28,4,1,4,2,2,6,117,112,2,0,0,0,0
